Id;Cluster0;Cluster1;Cluster2
video_173;115.0;69.0;26.0
video_174;75.0;135.0;105.0
video_175;85.0;151.0;67.0
video_176;163.0;179.0;143.0
video_177;113.0;184.0;217.0
video_178;61.0;99.0;31.0
video_179;127.0;194.0;87.0
video_180;81.0;45.0;103.0
video_181;139.0;73.0;53.0
video_182;32.0;9.0;17.0
video_183;113.0;187.0;51.0
video_184;103.0;69.0;31.0
video_185;103.0;4.0;39.0
video_186;109.0;23.0;5.0
video_187;102.0;29.0;112.0
video_188;21.0;64.0;50.0
video_189;49.0;103.0;13.0
video_190;55.0;7.0;125.0
video_191;51.0;2.0;30.0
video_192;103.0;3.0;26.0
video_193;126.0;77.0;28.0
video_194;38.0;9.0;19.0
video_195;134.0;71.0;24.0
video_196;125.0;191.0;66.0
video_197;11.0;43.0;31.0
video_198;29.0;69.0;135.0
video_199;49.0;95.0;15.0
video_200;115.0;31.0;79.0
video_201;57.0;19.0;79.0
video_202;15.0;71.0;33.0
video_203;7.0;31.0;88.0
video_204;10.0;79.0;137.0
video_205;140.0;121.0;47.0
video_206;36.0;78.0;68.0
video_207;31.0;2.0;12.0
video_208;1.0;23.0;11.0
video_209;8.0;20.0;3.0
video_210;21.0;45.0;7.0
video_211;107.0;45.0;147.0
video_212;204.0;25.0;104.0
video_213;35.0;90.0;16.0
video_214;153.0;41.0;120.0
video_215;51.0;18.0;5.0
video_216;69.0;34.0;85.0
video_217;55.0;5.0;18.0
video_218;5.0;29.0;43.0
video_219;71.0;33.0;76.0
video_220;5.0;47.0;79.0
video_221;35.0;85.0;70.0
video_222;69.0;177.0;114.0
video_223;157.0;131.0;81.0
video_224;120.0;70.0;11.0
video_225;38.0;73.0;19.0
video_226;76.0;50.0;198.0
video_227;71.0;36.0;4.0
video_228;3.0;73.0;32.0
video_229;3.0;18.0;12.0
video_230;7.0;34.0;85.0
video_231;11.0;40.0;65.0
video_232;85.0;145.0;35.0
video_233;87.0;44.0;22.0
video_234;17.0;47.0;33.0
video_235;13.0;61.0;35.0
video_236;15.0;78.0;31.0
video_237;23.0;6.0;49.0
video_238;45.0;4.0;75.0
video_239;3.0;56.0;91.0
video_240;5.0;49.0;73.0
video_241;64.0;10.0;45.0
video_242;75.0;41.0;13.0
video_243;37.0;3.0;59.0
video_244;108.0;23.0;81.0
video_245;37.0;7.0;19.0
video_246;55.0;3.0;25.0
video_247;3.0;23.0;15.0
video_248;58.0;3.0;45.0
video_249;13.0;43.0;55.0
video_250;73.0;17.0;35.0
video_251;38.0;55.0;89.0
video_252;63.0;115.0;22.0
video_253;15.0;67.0;3.0
video_254;79.0;2.0;31.0
video_255;99.0;72.0;82.0
video_256;125.0;77.0;11.0
video_257;12.0;61.0;33.0
video_258;43.0;15.0;3.0
video_259;30.0;59.0;17.0
video_260;57.0;11.0;34.0
video_261;35.0;12.0;89.0
video_262;5.0;65.0;27.0
video_263;98.0;13.0;180.0
video_264;91.0;23.0;39.0
video_265;30.0;84.0;103.0
video_266;71.0;195.0;261.0
video_267;55.0;18.0;79.0
video_268;5.0;55.0;87.0
video_269;165.0;115.0;79.0
video_270;81.0;5.0;31.0
video_271;49.0;5.0;95.0
video_272;29.0;95.0;143.0
video_273;21.0;87.0;127.0
video_274;401.0;30.0;211.0
video_275;21.0;56.0;47.0
video_276;9.0;27.0;58.0
video_277;6.0;57.0;31.0
video_278;61.0;9.0;37.0
video_279;23.0;237.0;191.0
